id;nome;LACUNAS;marca;SUGESTAO_marca;marca_site_antigo;categoria;categoria_site_antigo;REVISAR_categoria;tipo;embalagem;aplicacao;tags;descricao;detalhes;img
ecol-2;ECOL 2;aplicacao;viapol;;;impermeabilizantes;impermeabilizantes;;Emulsão asfáltica especialmente desenvolvida para impermeabilizações;"Frasco de 1 litro
Gal&atilde
o com 3,6 litros
Balde com 18 litros
Tambor com 200 litros.";;;"Aplicar uma demão de Ecol 2 diluído em 50% de água, aguardando a secagem total, por aproximadamente 8 horas, dependendo das condições climáticas;
Continuar a aplicação com o produto puro em 2 demãos alternadas e cruzadas, aguardando sempre o período mínimo de 8 horas entre a primeira e a segunda demão;
Não aplicar o produto em dias chuvosos;
Para maiores detalhes de aplicação, consulte o departamento técnico da Viapol.";"Descrição:
Emulsão asfáltica especialmente desenvolvida para impermeabilizações sob a forma de pintura, podendo ser aplicada mesmo com a presença de umidade.
Excelente material aglutinante, para execução de preenchimento quando misturado com areia.
Ultilização:
Ecol 2 é uma emulsão asfáltica, aplicada a frio com broxa, rodo ou escovão, para impermeabilização de fundações,baldrames, muros de arrimo, alicerces, estruturas em contato com o solo, etc.
Características Técnicas:
Densidade: 1,00 à 1,04 g/cm³
Cor: marrom escuro
Aparência: Líquido Viscoso
Produto isento de solvente - não inflamável.
Praparação da superfície:
A superfície a ser impermeabilizada deve estar limpa, isenta de corpos estranhos e materiais soltos.
Deve ser regularizada com argamassa de cimento e areia no traço volumérico de 1:3 sem aditivos hidrófugos.
Consumo:
Mínimo recomendado: 0,5 kg/m² em duas demãos
Validade e estocagem:
O produto tem validade de 24 meses, a partir da data de fabricação, desde que armazenado em local seco, coberto e longe de fontes de calor.
Recomendações:
Não aplicar em tempo chuvoso;
Não aquecer;
Manter as embalagens fechadas, fora do alcançe de crianças e animais, e longe de fontes de calor;
Em caso de contato com a pele ou olhos, lavar a região com água em abundância; Em caso de ingestão, não provocar vômito e procurar imediatamente orientação médica, informando o tipo de produto.
Consultar as seguintes normas técnicas:
NBR 8083 - Materiais e sistemas utilizados em impermeabilizações.
NBR 9574 - Execução de impermeabilização
NBR 9685 - Emulsões Asfálticas sem carga para impermeabilizações
NBR 9689 - Materiais e sistemas de impermeabilizações
Nota: As informações contidas nesta ficha são baseadas em nosso conhecimento para a sua ajuda e orientação. Salientamos que o desempenho dos nossos produtos depende das condições de preparo de superfície, aplicação e estocagem, que não estão sob nossos cuidados. O rendimento prático depende da técnica de aplicação, das condições do equipamento e da superfície a ser revestida. Não assumimos assim, qualquer responsabilidade relativa ao rendimento e ao desempenho de qualquer natureza em decorrência do uso indevido do produto. Para maiores esclarecimentos consultar nosso departamento técnico. A Viapol reserva-se o direito de mudar as especificações ou informações contidas neste follheto sem prévio aviso.";img/produtos/ecol-2.jpg
ecoprimer;ECOPRIMER;marca + aplicacao;;;;primers;primers;;Pintura impermeabilizante composta de asfaltos modificados;"Frasco com 1 litro
&nbsp
Gal&atilde
o com 3,6 litros
Balde com 18 litros
&nbsp
Barrica com 18 litros
Barrica com 50 litros
Tambor com 200 litros.";;;"Ecoprimer é aplicado puro, utilizando rodo, vassoura de pêlo ou trincha, em uma ou duas demãos.
O tempo máximo de secagem é de 15 minutos, com temperatura média de 25ºC e umidade relativa do ar de 70%.
Não utilizar em tempo chuvoso.
Homogeneizar o produto antes de sua aplicação.";"Descrição:
Pintura impermeabilizante composta de asfaltos modificados, isenta de solventes, para aplicação à frio sobre superfícies de concreto, argamassa, alvenaria, metal, PVC, fibra de vidro, etc.
Utilização:
Ecoprimer é utilizado como:
Primer para substrato em áreas a ser impermeabilizadascom mantas asfálticas elastoméricas, poliméricas ou oxidadas, tanto no sistema de aplicação a maçarico como com asfalto oxidado. Pintura impermeável para fachadas, quando for aplicada sob película de vidro. Forma eficiente barreira contra a umidade, permitindo perfeito acabamento, enaltecendo a película.
Características técnicas :
Cor: Preto
Viscosidade: Pastosa
Densidade: 1,00g/cm³
Vantagens:
Sua exclusiva fórmula, totalmente sem solventes tóxicos, é uma solução ecológica que permite uma aplicação mais segura em ambientes pouco ventilados, como subsolos e reservatórios, além de uma perfeita ancoragem de mantas asfálticas com as mais diversas características e com secagem mais rápida.
Normalização:
Não aplicável.
Preparação da Superfície:
O local a receber o primer Ecoprimerdeve estar limpo, seco e regularizado com caimento mínimo de 1% em direção aos pontos de escoamento de água, preparada com argamassa de cimento e areia média, traço 1:3, utilizando água de amassamento composta de 1 volume de emulsão adesiva Viafix e 2 volumes de água para maior aderência ao substrato. Essa argamassa deverá ter acabamento desempenado, com espessura mínima de 2cm.
Consumo:
De 0,3 a 0,4 litros/m²/demão.
Validade e Estocagem:
Produto válido por 12 meses, a partir da data de fabricação, desde que armazenado em local coberto, sem incidência de sol.
Recomendações:
No caso de contato do produto com a pele, lavar a região com água e sabão neutro ou pasta especial para limpeza;
No caso de contato com os olhos, lavar com água potável em abundância por no mínimo 15 minutos;
Eventual irritação da pele, olhos ou ingestão do produto, procurar orientação médica, informando sobre o tipo de produto.
Misturar bem o produto antes de utilizar.
Não reutilizar a embalagem.
Para limpeza de ferramentas, utilizar Aguarrás.
Toda a impermeabilização efetuada em reservatórios fechados, deve ter ventilação forçada e se houver a necessidade de utilização de maçarico na aplicação do sistema impermeabilizante, para maior segurança o botijão de gás deve permanecer fora do reservatório.
Nota: As informações contidas nesta ficha são baseadas em nosso conhecimento para a sua ajuda e orientação. Salientamos que o desempenho dos nossos produtos depende das condições de preparo de superfície, aplicação e estocagem, que não estão sob nossos cuidados. O rendimento prático depende da técnica de aplicação, das condições do equipamento e da superfície a ser revestida. Não assumimos assim, qualquer responsabilidade relativa ao rendimento e ao desempenho de qualquer natureza em decorrência do uso indevido do produto. Para maiores esclarecimentos consultar nosso departamento técnico. A Viapol reserva-se o direito de mudar as especificações ou informações contidas neste follheto sem prévio aviso.";img/produtos/ecoprimer.jpg
eucon-rapid-10;EUCON RAPID 10;marca + aplicacao + categoria?;;;;cura_quimica;aditivos_concretos;SIM;Aditivo acelerador de pega e resistência;"Balde 18 L
Tambor 200 L
Container 100 L";;;EUCON® RAPID 10 é um aditivo para concreto, líquido, isento de cloreto, pronto para o uso. EUCON® RAPID 10 é composto por matérias primas de altíssimo desempenho. EUCON® RAPID 10 é um aditivo acelerador de pega do cimento e das resistências iniciais do concreto e argamassas.;"Utilização
• Concreto convencional;
• Concreto bombeado;
• Concreto pré-moldado;
• Argamassa de fixação e enchimento;
• Argamassa de reparo urgente;
• Argamassa de revestimento;
Vantagens
• Redução no tempo da pega do cimento;
• Antecipa o endurecimento do concreto/argamassa;
• Altíssima resistência mecânica inicial;
• Possibilita a concretagem em áreas submersas e/ou molhadas, permitindo antecipar o endurecimento do concreto/argamassa;
• Aumento da durabilidade das peças concretadas;";img/produtos/eucon-rapid-10.jpg
expancit-500;EXPANCIT 500;marca + aplicacao;;;;selantes;selantes;;Espuma de poliuretano monocomponente;Aerosol 500 ml;;;EXPANCIT é uma espuma de poliuretano monocomponente, pronta para uso, com alto poder de expansão e aderência. Calafeta e isola com perfeição, com rendimento de até 30 vezes o volume inicial. Preenche as cavidades com uma espuma semirrígida, com grande poder de vedação e resistente às intempéries. Assim, além de vedar, proporciona excelente isolamento termo-acústico aos ambientes. EXPANCIT tem ótima aderência à grande parte dos materiais empregados na construção civil, exceto polietileno, polipropileno, silicone ou Teflon. Depois de endurecido, pode ser cortado, lixado e pintado. Características Aparência: Espuma amarelada Composição básica: poliuretano Validade: 12 meses Embalagem Aerossol de 500 mL;"Preparo do substrato
Limpar bem as superfícies, deixando-as livres de graxa e poeira. Proteger as superfícies laterais com fita adesiva ou filme plástico. Para melhor aderência, umedecer levemente as superfícies com água.
Preparo do produto
Pronto para uso. Agitar muito bem antes de usar, em torno de 20 vezes.
Aplicação
Rosquear o bocal do aplicador na válvula. Segurar o recipiente de cabeça para baixo, com o tubo apontando para a superfície a ser aplicada. Durante a aplicação, evitar o contato com a pele, utilizando luvas, Óculos de segurança e vestimenta adequada. Nunca preencher toda a área ou cavidade, pois a espuma expandirá. EXPANCIT fixa em 30 minutos. O intervalo de secagem é de aproximadamente 6 horas, à temperatura de 25 °C. A espuma deve ficar protegida dos raios solares (UV). Após a utilização parcial ou total do produto, não desconecte o bico aplicador. Mantenha a embalagem para cima até que se forme uma porção de espuma na ponta do bico aplicador. Na reutilização, corte a ponta do aplicador.
Consumo aproximado
20 litros/aerossol com 500 mL.
Rendimento
Aerossol com 500 mL (490 g) - 20 litros/aerossol com 500 mL";img/produtos/expancit-500.jpg
expansor;EXPANSOR;aplicacao;vedacit;;vedacit;aditivos_concretos;aditivos_concretos;;Aditivo compensador de retração para argamassas secas;"3 kg
1 kg
25 kg";;;"Preenchimentos, argamassa tipo ""dry-pack"".";"EXPANSOR plastifica as argamassas e preenche totalmente os espaços vazios, o que facilita a sua aplicação em frestas.
EXPANSOR compensa a retração natural das argamassas por meio do efeito de expansão moderada, evitando fissuras.
Características
Aparência: Pó branco, isento de cloretos
Composição básica: cargas minerais
Validade: 9 meses
MODO DE USAR
Preparo do substrato
A superfície deve estar ligeiramente úmida.
Preparo do produto
Adicionar EXPANSOR ao cimento a seco. Usar a menor quantidade de água possível, devido a maior plasticidade.
Aplicação
Usar 1 parte de cimento Portland, 3 partes de areia média e 1% de EXPANSOR misturados com a massa de cimento.
Para um melhor desempenho do produto, a argamassa deve ter consistência seca e ser utilizada em, no máximo, 40 minutos (25°C) após a adição da água.
Encunhamentos
Deixar uma fresta de 3 cm entre a alvenaria e a estrutura e socar bem a argamassa no interior da fresta para um perfeito preenchimento dos espaços vazios.
Consumo aproximado
EXPANSOR é usado na proporção de 1% sobre a massa de cimento.
500 g EXPANSOR / 50 kg cimento.
PRECAUÇÕES
Armazenamento
Estocar o produto em local coberto, fresco, seco e ventilado, fora do alcance de crianças e animais e longe de fontes de calor.
Atenção
O encunhamento deve ser feito, no mínimo, 14 dias após o assentamento da alvenaria.
EPI (Equipamento de proteção individual)
Avental de PVC
Luvas de borracha
Máscara com filtro para pó
Óculos de Segurança
Primeiros socorros
Contato com os olhos: lavar com bastante água, durante pelo menos 15 minutos. Procurar um médico.
Contato com a pele: lavar com bastante água, durante pelo menos 15 minutos. Aplicar creme hidratante.
Inalação: remover para ambiente fresco e ventilado.
Ingestão: não provocar vômito. Procurar um médico.";img/produtos/expansor.jpg
fibra-de-polipropileno-10-mm-argamassa;FIBRA DE POLIPROPILENO 10 MM ARGAMASSA;marca + detalhes + aplicacao;;;;complementares;complementares;;Microfibras de Polipropileno;SC 600 Gr;;;As microfibras são compostas por filamentos extremamente finos, produzidos através de um processo de extrusão. Seu uso é indicado em concretos e argamassas já que reduzem o índice de fissuras provocadas pela retração e assentamento. Isto se deve a sua capacidade de retenção de agua em seu interior. Ainda, propiciam um controle sobre os fenômenos de exsudação e segregação. As microfibras também melhoram o desempenho do concreto endurecido, aumentando sua resistência no que se refere ao: desgaste, impacto e fogo. indicada para reforço de concretos e argamassas com a finalidade de gerar um composto homogêneo e controlar a fissuração por retração.;;img/produtos/fibra-de-polipropileno-10-mm-argamassa.jpg
fibra-de-polipropileno-20-mm-concreto;FIBRA DE POLIPROPILENO 20 MM CONCRETO;marca + detalhes + aplicacao;;;;complementares;complementares;;Microfibra de Polipropileno;SC 600 GR;;;As microfibras são compostas por filamentos extremamente finos, produzidos através de um processo de extrusão. Seu uso é indicado em concretos e argamassas já que reduzem o índice de fissuras provocadas pela retração e assentamento. Isto se deve a sua capacidade de retenção de agua em seu interior. Ainda, propiciam um controle sobre os fenômenos de exsudação e segregação. As microfibras também melhoram o desempenho do concreto endurecido, aumentando sua resistência no que se refere ao: desgaste, impacto e fogo. Indicada para reforço de concretos e argamassas com a finalidade de gerar um composto homogêneo e controlar a fissuração por retração.;;img/produtos/fibra-de-polipropileno-20-mm-concreto.jpg
fita-adesiva-freshfoil;FITA ADESIVA FRESHFOIL;detalhes + aplicacao;tegula;;tegula;complementares;complementares;;Fita Adesiva para Freshfoil;Rolo 5cm x 45m;;;Fita Adesiva utilizada na fixação de emendas de mantas termicas FreshFoil;;img/produtos/fita-adesiva-freshfoil.jpg
fita-vedatrinca-5x5-m;FITA VEDATRINCA 5x5 M;marca + detalhes + aplicacao;;;;complementares;complementares;;Fita para aplicação em trincas e fissuras;Rolo 5 x 5;;;Fita Vedatrica, é um complemento para a aplicação da pasta cremosa de base acrílica Vedatrinca, utilizada nos reparos de trincas e fissuras em revestimentos, com grande poder de aderência formando uma membrana elástica de otimo acabamento.;;img/produtos/fita-vedatrinca-5x5-m.jpg
fixmassa-500ml;FIXMASSA 500ML;aplicacao;vedbem;;vedbem;aditivos_concretos;aditivos_concretos;;Plastificante para argamassas;500 ml;;;"FIXMASSA é um super aditivo capaz de proporcionar excelente liga, ótima plasticidade, perfeita aderência e menor permeabilidade da argamassa mesmo quando preparada com areia fina. O uso de FIXMASSA dispensa a execução do chapisco*.
FIXMASSA quando utilizado em argamassa de reboco com areia fina elimina o aparecimento de fissuras de retração e dispensa o uso de chapisco na maioria dos casos.
*Em superfícies lisas ou previamente impermeabilizadas, é necessário executar o chapisco.";"CARACTERÍSTICAS
• COR: Branco leitoso
• DENSIDADE: 1,01 g/cm³
COMPOSIÇÃO BÁSICA
Polímeros acrílicos e aditivos super plastificante.";img/produtos/fixmassa-500ml.jpg
freshfoil-premium;FRESHFOIL PREMIUM;aplicacao + categoria?;tegula;;tegula;mantas_asfalticas;telhados_calhas;SIM;Subcobertura para telhado;"Rolo com 20m<sup>2</sup>
Rolo com 50m<sup>2</sup>";;;Manta de Alumínio - Impede a entrada de calor no verão e minimiza a saída no inverno, proporcionando maior conforto térmico e economia de energia com ar condicionado, além de uma garantia contra vazamentos, mesmo com chuvas de vento.;"• Garante proteção contra goteiras e chuva de vento.
• Solução para telhados com baixa inclinação.
• Reduz a temperatura da casa em até 5° C no verão*.
• Retém o calor da casa no inverno.";img/produtos/freshfoil-premium.jpg
fundo-de-junta-tarucel;FUNDO DE JUNTA TARUCEL;marca + detalhes + aplicacao;;;;juntas;juntas;;Limitadores de profundidade para juntas;"esp 6mm ML
esp 10mm ML
esp 15mm ML
esp 20mm ML
esp 25mm ML
esp 30mm ML
esp 40mm ML
esp 50mm ML";;;Os cordões de fundo de junta, disponíveis em poliuretano (célula aberta) e/ou polietileno (célula fechada), são ideais para limitar a profundidade da junta e impedir a aderência do selante à respetiva base (fundo), assegurando dessa forma o comportamento adequado do selante.;;img/produtos/fundo-de-junta-tarucel.jpg
fuseprotec-brilhante;FUSEPROTEC BRILHANTE;marca + aplicacao;;;;impermeabilizantes;impermeabilizantes;;Resina Acrílica;"Lata 900ml
Gal&atilde
o 3,6 Lt
Balde 18 Lt";;;Fuseprotec: É uma composição transparente, à base de resina acrílica 100% pura.Composição básica: Resina acrílica pura (100%), solvente aromático e aditivos.Utilização: Destinada à proteção e impermeabilização de áreas externas de concreto aparente, tijolos à vista, blocos de concreto e pedras ornamentais. Vantagens: Insensível à ação dos raios solares e da alcalinidade do concreto.Ótima resistência à água, não agarra sujeira, não mofa, não amarela e não descasca.É fabricado nos tipos: BRILHANTE, SEMI-BRILHO e FOSCO .Testes práticos e de laboratório indicam uma resistência mínima de 5 anos de exposição a intempéries, sem alterar o seu aspecto original.;"Características técnicas: Natureza química homopolímero acrílico termo - plástico - isento de radicais estirênicos, dissolvido em solvente aromático.
Aspecto: Líquido transparenteDensidade: 0,900 g/cm³";img/produtos/fuseprotec-brilhante.jpg
fuseprotec-fosco;FUSEPROTEC FOSCO;marca + aplicacao;;;;impermeabilizantes;impermeabilizantes;;Resina Acrílica;"Lata 900ml
Gal&atilde
o 3,6 Lt
Balde 18 Lt";;;Fuseprotec: É uma composição transparente, à base de resina acrílica 100% pura.Composição básica: Resina acrílica pura (100%), solvente aromático e aditivos.Utilização: Destinada à proteção e impermeabilização de áreas externas de concreto aparente, tijolos à vista, blocos de concreto e pedras ornamentais. Vantagens: Insensível à ação dos raios solares e da alcalinidade do concreto.Ótima resistência à água, não agarra sujeira, não mofa, não amarela e não descasca.É fabricado nos tipos: BRILHANTE, SEMI-BRILHO e FOSCO .Testes práticos e de laboratório indicam uma resistência mínima de 5 anos de exposição a intempéries, sem alterar o seu aspecto original.;Características técnicas: Natureza química homopolímero acrílico termo - plástico - isento de radicais estirênicos, dissolvido em solvente aromático.Aspecto: Líquido transparenteDensidade: 0,900 g/cm³;img/produtos/fuseprotec-fosco.jpg
heyd-cryl-mastique;HEYD'CRYL MÁSTIQUE;marca + aplicacao;;;;selantes;selantes;;Mástique à base de resinas acrílicas;"Gal&atilde
o com 5 kg
Barrica com 18 kg";;;"Preencher todas as juntas e sulcos com Hey’dicryl Mástique, utilizando uma espátula.
Havendo necessidade de uma espessura maior, acima de 10 mm, deve ser aplicado em duas ou mais demãos, obedecendo ao tempo de secagem
Necessitando de pintura posterior, aguardar a completa secagem do mástique por 4 dias, no mínimo.
Proceder ao lixamento manual da superfície e pintar posteriormente.
Para mais informações sobre manuseio e medidas de segurança, consultar nosso
departamento técnico";"Descrição:
Mástique à base de resinas acrílicas, de ótimas características de elasticidade, aderência e impermeabilidade, tendo como finalidade o tratamento de trincas e fissuras na recuperação de fachadas de edifícios, com ótimo resultado estético, proporcionando melhor acabamento do sistema de pintura adotado.
Utilização:
Calafetação de juntas de fechamento de pré-moldados;
Fissuras de retração, tanto horizontais como verticais;
Trincas e fissuras em fachadas de edifícios;
Calafetação de frestas entre guarnições de madeira ou metal e as paredes acabadas.
Em conjunto com impermeabilizante de membranas acrílicas, Viaflex Branco e Hey’dicryl
Em conjunto com tintas acrílicas Fuselatex, Fusecril Látex ou Vedaplast
Vantagens:
Excelente resistência a ação dos raios ultravioletas, ozona e intempéries;
Ótimo desempenho em fissuras de fachadas;
Fácil aplicação e manuseio;
A quantidade de 1,0 kg rende 10 metros em junta 1x1 cm
Elástico e flexível.
Compatível com as pinturas base água
Isento de solventes
Características técnicas:
Aspecto: Pastoso / Pasta
Cor: Branca
Secagem ao toque: aprox. 2 horas
Tempo de cura inicial: 24 horas
Tempo de cura final: 7 dias
Preparação da superfície:
Para aplicação do Hey’dicryl Mástique, limpar bem a superfície a ser aplicada, para que ela fique seca e isenta de pó, graxa, tinta ou quaisquer outros materiais anteriormente aplicados
No caso de calafetação de caixilhos, batentes, entre outros, abrir um pequeno filete ao longo da peça a ser calafetada, tomando o cuidado para deixá-la bem limpa;
Nas juntas de dilatação de painéis verticais, proceder a limpeza utilizando uma espátula, nessas situações colocar um limitador de profundidade que deverá ser dimensionado de acordo com a largura da junta.
Consumo:
0,1 kg/m em junta de 1 x 1 cm
Para embalagem menor, dispomos do Monopol Acrílico em cartucho de 420 g
Validade e estocagem:
Produto válido por 12 meses, a partir da data de fabricação, desde que armazenado em local seco e ventilado, nas embalagens originais e intactas.
Recomendações:
Manter as embalagens fechadas longe do alcance das crianças, animais e fontes de calor;
Em caso de contato com a pele ou olhos, lavar a região afetada com água em abundância;
Em caso de ingestão, não provocar vômito e procurar imediatamente um médico, informando-o sobre o tipo de produto;
Para limpeza de ferramentas, utilizar Aguarrás Viapol;
Não reutilizar a embalagem.
Nota: As informações contidas nesta ficha são baseadas em nosso conhecimento para a sua ajuda e orientação. Salientamos que o desempenho dos nossos produtos depende das condições de preparo de superfície, aplicação e estocagem, que não estão sob nossos cuidados. O rendimento prático depende da técnica de aplicação, das condições do equipamento e da superfície a ser revestida. Não assumimos assim, qualquer responsabilidade relativa ao rendimento e ao desempenho de qualquer natureza em decorrência do uso indevido do produto. Para maiores esclarecimentos consultar nosso departamento técnico. A Viapol reserva-se o direito de mudar as especificações ou informações contidas neste follheto sem prévio aviso.";img/produtos/heyd-cryl-mastique.jpg
imperall-premium;IMPERALL PREMIUM;marca + aplicacao;;;;impermeabilizantes;impermeabilizantes;;Impermeabilizante de paredes contra batida de chuva.;"18Kg
200 kg";;;"• Paredes com batida de chuva;
• Bloco aparente (cimento);
• Placas cimentícias;
• Tijolos e concretos;
• Selador impermeável para tintas látex PVA e acrílica.
ATENÇÃO: No caso de umidade ascendente do solo, é necessário utilizar outra tecnologia de impermeabilização (MACTRASET e MACTRA 2000).";"IMPERALL é a mais nova tecnologia contra batida de chuva na parede e os conseqüentes males que a infiltração provoca. IMPERALL elimina problemas no acabamento interno, melhorando a qualidade de vida e a conservação dos materiais dentro do imóvel. IMPERALL é um revestimento capaz de impermeabilizar, selar, pintar e absorver fissuras* em um só produto, justamente por ter uma tecnologia única no mercado, composta de minerais acrílicos super fortes, capazes de agüentar ações da natureza, como raios UV, fungos e variações térmicas. VANTAGENS • É 4 em 1: Impermeabiliza, sela, pinta e absorve microfissuras* • Ótimo acabamento; • Aceita pigmentação; • Já vem pronto e é fácil de aplicar; • Ótima resistência à maresia. ONDE APLICAR • Paredes com batida de chuva; • Bloco aparente (cimento); • Placas cimentícias; • Tijolos e concretos; • Selador impermeável para tintas látex PVA e acrílica. ATENÇÃO: No caso de umidade ascendente do solo, é necessário utilizar outra tecnologia de impermeabilização (MACTRASET e MACTRA 2000). COMO APLICAR Preparo da Superfície: • A superfície a ser tratada deverá estar limpa e seca, isenta de partículas soltas ou fungos. Se tiver algum tipo de pintura deve-se lixar ou escovar antes da aplicação. • Trate as trincas estruturais estabilizadas com TELA + MASSA VEDATRINCA. Nas trincas de superfície utilize a FITA VEDATRINCA. Faça a calafetação dos caixilhos com ELASTIQUE. • No caso de rebocos novos, deve-se esperar a cura de 28 dias. Como Aplicar 1. Mexa antes de aplicar. 2. Aplique o IMPERALL com trincha de nylon, rolo ou brocha em 2 a 3 demãos. Dilua a primeira demão em até 20% em água e aplique as demais puras. Tempo entre demãos: 6 horas. • Armagenagem em local coberto, seco e arejado. Características Densidade: Líquido branco viscoso. Composição básica: Acrílica de alto desempenho, minerais e anti-fungos. Consumo (rendimento): 270 a 320 g/m2/demão. Embalagens: 18 e 200 kg.";img/produtos/imperall-premium.jpg
instant-pav;INSTANT PAV;aplicacao;cbpav;;;asfaltos;asfaltos;;Reparador de piso asfáltico;SC 40kg;;;"O INSTANT PAV é o resultado de uma parceria entre a CB PAV Indústria e Comercio Ltda e a Macismo Asphalt Inovations. Na busca de qualidade e inovações na área de pavimentação a CB PAV trouxe para o Brasil as novas tecnologias em aditivos livres de solvente com diluentes vegetais da Macismo Asphalt Inovations. Iniciou-se a produção do INSTANT PAV FIX, um asfalto usinado a quente para aplicação a frio, a base de CAP 50/70, pronto para uso que se tornou a mais moderna e correta opção para serviços de tapa buracos, valas e bordas de tampões de PV, com alta durabilidade e podendo ser utilizado em buracos com água e em dias chuvosos o permite executar recomposição de asfaltos em quaisquer circunstâncias dando agilidade aos setores de manutenção de Prefeituras e órgãos de saneamento.
PRATICIDADE NAS OPERAÇÕES - O INSTANT PAV FIX é um asfalto livre de solventes, ecológico pronto para uso resistente à ação da água, podendo ser utilizado em buracos com água em dias chuvosos. Aplica-se diretamente por uma só pessoa com uma pá, após uma simples varredura no buraco, não necessita de imprimação, ser aquecido ou misturado com outros produtos, não necessita de compactação sendo a mesma efetuada pelo próprio transito, resultando em rapidez e praticidade nas operações e reduzindo substancialmente os custos e mão de obra e equipamentos.
Características
• Asfalto com borracha reciclada de pneus.
• Não necessita de aquecimento ou mistura
• Não tem cheiro
• Não necessita de imprimação
• Maior resistência à água
• A compactação é feita pelos veículos passantes
• Menor custo perda arraste de 5%
• Menor tempo de cura
• Não gruda nos pneus
• Garantia de estocagem de 12 meses
• Melhor adesividade aos agregados
• Alta resistência ao envelhecimento
• Redução do aparecimento de trincas
• Diminuição de pneus jogados em rios e córregos";O INSTANT PAV é um concreto asfaltico usinado a quente para aplicação a frio, livre de solventes, a base de CAP e óleos vegetais aditivado com MAC FIX não emulsionado, pronto para uso, sem necessidade de imprimação ou compactação, podendo ser usado em buracos com água em dias chuvosos e em dias secos executar previa varredura para eliminação de pó, acondicionados em sacos multifoliados de papel Kraft de 40 kg com garantia de estocagem de 12 meses.* Pode ser utilizado em buracos com água e em dias chuvosos* Ecologicamente correto livre de solventes e óleos minerais* Não necessita de aquecimento ou mistura* Não tem cheiro* Não necessita de imprimação* A compactação é feita pelos veículos passantes* Perda por arraste 5%* Menor tempo de cura* Não gruda nos pneus* Garantia de estocagem de 12 meses* Melhor adesividade aos agregados* Alta resistência ao envelhecimento* Redução do aparecimento de trincas;img/produtos/instant-pav.jpg
k-154;K-154;marca + aplicacao;;;;impermeabilizantes;impermeabilizantes;;Silicone hidro-repelente;"Gal&atilde
o 3,6 L
Lata 18 L
Tambor 200 L";;;Silicone Viapol K-154 é um hidro-repelente à base de silano/siloxano disperso em solvente, de alta capacidade de penetração no substrato e que protege as superfícies contra infiltrações causadas pela água de chuva.;"Utilização
Silicone Viapol K-154 é indicado para proteção de superfícies verticais tais como:
• Fachadas de concreto aparente
• Blocos de concreto aparente
• Pedras naturais
• Tijolos aparentes
• Telhas cerâmicas e de fibrocimento";img/produtos/k-154.jpg
